לְהִשְׁתַּקֵּף	lehiʃtaˈkef
להביע	lehaˈbia
להירשם	leheraˈʃem
לִרְטוֹן	lirˈton
נפיץ	naˈfits
לִנְגּוֹחַ	linˈgoax
להמריץ	lehamˈrits
רָחוּץ	raˈxuts
להתקרב	lehitkaˈrev
ירק	jaˈrak
חִיבַּה	xiˈba
דַעַת	ˈdaʔat
שַׁפַן	ʃaˈfan
יסודי	jesoˈdi
בּוֹא	bo
סימן	siˈman
עשן	aˈʃan
לַעֲנוֹת	laʔaˈnot
עַגַה	aˈga
שהכנסת	ʃeaˈkneset
בּוֹטֶן	ˈboten
לשווק	leʃaˈvek
לְהִתְבּוֹלֵל	lehitboˈlel
שְׁאִילַה	ʃeʔiˈla
מִשְׁעֵנֵת	miʃˈʔenet
לְהַקִיז	lehaˈkiz
מֶשִׁי	ˈmeʃi
אִפְיוֹן	ifˈjon
לְתַייֵג	letaˈjeg
איוושוש	ivˈʃuʃ
לְהִילַחֵם	lehilaˈxem
מִטְעָן	mitˈʔan
לְרַכֵל	leraˈxel
למשרד	lemisˈrad
לִפְצוֹת	liftˈsot
הובלה	hovaˈla
שריג	saˈrig
מִשְׁגָּל	miʃˈgal
עובש	ˈoveʃ
להיוועד	lehivaˈʔed
לדוג	laˈdug
לִגְווֹעַ	ligˈvoa
לכרות	lixˈrot
לְקַמֵּץ	lekaˈmets
לְהִיפַּסֵל	lehipaˈsel
איפור	iˈpur
רָזֶה	raˈze
עבדות	avˈdut
הכא	haˈxa
לְהִסְתַבֵּן	lehistaˈben
מוּתַר	muˈtar
חִיטָּה	xiˈta
סִבַּה	siˈba
לדלדל	ledalˈdel
תַפוּס	taˈfus
עַטִיפַה	atiˈfa
מָעוֹף	maˈʔof
חַתוּלִי	xatuˈli
קַנַא	kaˈna
לְהִתְגַּייֵּס	lehitgaˈjes
להפריט	lehafˈrit
כַּווּי	kaˈvuj
הזדמנות	hizdamˈnut
עמידה	amiˈda
אִיפּוּר	iˈpur
מָעוֹז	maˈʔoz
סָבִיר	saˈvir
תמלוגים	tamluˈgim
הַפְרָשָׁה	hafraˈʃa
בסדר	beˈseder
קטנוני	katnuˈni
לצעוד	litsˈʔod
נָדִיר	naˈdir
לפרק	lefaˈrek
שלטוני	ʃiltoˈni
לְהִסְתַּגֵּף	lehistaˈgef
תיאטרון	teʔatˈron
לִשְׁמוֹט	liʃˈmot
לְהִיקָּרֵם	lehikaˈrem
שגריר	ʃagˈrir
לְהַאֵט	lehaˈʔet
פלך	ˈpelex
שְׂלַיו	sˈlav
לְהִתְקָרֵר	lehitkaˈrer
עַרְבוּת	arˈvut
הֲלִיכָה	haliˈxa
לְהַשְׁתִּין	lehaʃˈtin
חֲצוֹת	xatˈsot
חתת	xaˈtat
אב	ˈev
לְהִיבָּצֵר	lehibatˈser
לַחוּץ	laˈxuts
בַּשַׁנִים	baʃaˈnim
לְהִישָּׁאֵב	lehiʃaˈʔev
בְּאֶמְצָעוּת	beʔemtsaˈʔut
לְהִידַּמּוֹת	lehidaˈmot
לעקם	leʔaˈkem
תַקְצִיר	taktˈsir
לְלַקֵּט	lelaˈket
בכיין	baxˈjan
חוֹפֶן	ˈxofen
לְהִימָּנוֹת	lehimaˈnot
פֵּירוּד	peˈrud
קָלִיעַ	kaˈlia
מַאֲפֵרָה	maʔafeˈra
לְסוֹכֵךְ	lesoˈxex
לזוח	laˈzuax
דִּיוּוּחַ	diˈvuax
אחדות	axˈdut
משקפי	miʃkeˈfei
מוקד	moˈked
זְאֵב	zeˈʔev
לְהִתְבַּגֵּר	lehitbaˈger
לִימוּד	liˈmud
שַׁחֶפֶת	ʃaˈxefet
צֵלֵם	tˈselem
הִתְחַזּוּת	hitxaˈzut
שִׁכְמָה	ʃixˈma
פַּחְמֵימַה	paxmeˈma
זיכרון	zikaˈron
דֵשֵׁא	ˈdeʃe
לדברי	ledivˈrei
לְאַחֵר	leʔaˈxer
טִרְדָּה	tirˈda
לְאַדוֹת	leʔaˈdot
חַרַא	ˈxara
מִקְצַת	miktˈsat
הנמכה	hanmaˈxa
אודם	ˈodem
לְהִיגַאֵל	lehigaˈʔel
לְשַׁהֵק	leʃaˈhek
עִימוּד	iˈmud
לְהִתְמַצֵּק	lehitmatˈsek
רַעַב	raˈʔav
שאר	ʃeˈʔar
להתחפר	lehitxaˈper
סערה	seʔaˈra
להצטמק	lehitstaˈmek
לְהִתְכַּווֵּן	lehitkaˈven
תִיכְנוּת	tixˈnut
רַצוּץ	ratˈsuts
לפתור	lifˈtor
הַדְפָּסָה	hadpaˈsa
שָׁתוּי	ʃaˈtuj
מֵאָה	meˈʔa
יְהוּדִיַה	jehudiˈja
לבשל	levaˈʃel
לבלגן	levalˈgen
גַּעְגּוּעַ	gaʔaˈgua
תחזוק	tixˈzuk
מַטְחֵנַה	matxeˈna
סַפָּן	saˈpan
לְהִסְתַּקְרֵן	lehistakˈren
לרושש	leroˈʃeʃ
נֵיטְרָלִי	netˈrali
לַהַק	ˈlahak
להצטדק	lehitstaˈdek
הַדוּק	haˈduk
דִילוּג	diˈlug
שַׁמֵנֵת	ʃaˈmenet
לְהִינַזֵף	lehinaˈzef
גִמְלַה	gimˈla
רַווַּק	raˈvak
לְשַׁתֵף	leʃaˈtef
קושי	ˈkoʃi
פת	ˈpat
במבוק	bamˈbuk
לְחַנֵךְ	lexaˈnex
להתרענן	lehitraʔaˈnen
טְרֶמְפּ	tˈremp
תקיעה	tkiˈʔa
סֵתֶר	ˈseter
לְהִישָּׁחֵת	lehiʃaˈxet
מַגְלֵשַׁה	magleˈʃa
לצאת	latˈset
לְהִידָּלֵק	lehidaˈlek
לְרַוּוֹת	leraˈvot
מַעֲטָפָה	maʔataˈfa
פִּישְׁפֵּשׁ	piʃˈpeʃ
קִמְעוֹנַאי	kimʔoˈnaj
תושייה	tuʃiˈja
תרומה	truˈma
לְהַפֵר	lehaˈfer
מְקַדֵּם	mekaˈdem
לְפַתֵּל	lefaˈtel
חול	ˈxol
בננה	baˈnana
להמליץ	lehamˈlits
הוד	ˈhod
מִיסּוּי	miˈsuj
לִשְׁטוֹף	liʃˈtof
בְּשֵׁל	beˈʃel
לְהַעַמִיס	lehaʔaˈmis
לוֹחֵם	loˈxem
לְכַסֵּחַ	lexaˈseax
קוֹרְבַּן	korˈban
דליק	daˈlik
להתאבן	lehitʔaˈben
להזעיף	lehazˈʔif
אֵלֵף	ˈelef
להניח	lehaˈniax
להתארגן	lehitʔarˈgen
יוֹסֵף	joˈsef
יַקִּיר	jaˈkir
לתחלב	letaxˈlev
עוֹל	ˈol
חֻוקִים	xuˈkim
כֵּיצַד	kejˈtsad
סתום	saˈtum
להתכונן	lehitkoˈnen
שפירית	ʃapiˈrit
סַפַּק	saˈpak
מִרְשָׁם	mirˈʃam
שקוף	ʃaˈkuf
שָׂרוּעַ	saˈrua
נְדִיבוּת	nediˈvut
קַרְקָעִי	karkaˈʔi
לְבַקֵּר	levaˈker
תִכְנוּן	tixˈnun
לחכך	lexaˈkex
צִיפִּיָּה	tsipiˈja
חִיזָּיוֹן	xizaˈjon
לחמם	lexaˈmem
מתווה	mitˈve
להתאכסן	lehitʔaxˈsen
לֶאֱסוֹף	leʔeˈsof
לְשַׁלְשֵׁל	leʃalˈʃel
סהר	ˈsahar
בְּרֵצֵף	beˈretsef
הַעַלַבַה	haʔalaˈva
תַקִין	taˈkin
עַרְמוֹן	arˈmon
שֵׁלֵד	ˈʃeled
לנשול	linˈʃol
העבודה	haʔavoˈda
הִשְׁתַּקְּפוּת	hiʃtakˈfut
קְצָת	ktˈsat
לזרגג	lezarˈgeg
מְייַאֵשׁ	mejaˈʔeʃ
בִּטְנַה	bitˈna
חירום	xeˈrum
עַרַפֵל	araˈfel
לְתַזְמֵן	letazˈmen
לדלג	ledaˈleg
שׁוֹעֵר	ʃoˈʔer
לְהִיצַמֵד	lehitsaˈmed
לבלבל	levalˈbel
לְהַמּוֹת	lehaˈmot
לְהֵיהַגוֹת	lehehaˈgot
מסגר	masˈger
מְפוֹאַר	mefoˈʔar
לְהִתְעַלּוֹת	lehitʔaˈlot
הַכְפַּשַׁה	haxpaˈʃa
עִידוּד	iˈdud
רִיתוּךְ	riˈtux
סִפְרוּתִי	sifruˈti
פלוגה	pluˈga
לְהַקִים	lehaˈkim
אַכִיפַה	axiˈfa
שַׁרוּי	ʃaˈruj
כָּחוֹל	kaˈxol
לְהַדְשִׁיא	lehadˈʃi
מְבוֹהָל	mevoˈhal
רָשׁוּת	raˈʃut
לְחַסֵּר	lexaˈser
כּוּתּוֹנֶת	kuˈtonet
נתיב	naˈtiv
מַשׁוֹשׁ	maˈʃoʃ
לְהַאֲצִיל	lehaʔatˈsil
הבא	haˈba
להתפספס	lehitfasˈfes
לְהִיקָּבֵץ	lehikaˈvets
אֶמְצַע	emtˈsa
לִנְדוֹב	linˈdov
לִצְמוֹק	litsˈmok
לְהִתְייַפֵּחַ	lehitjaˈpeax
לַחְפּוֹר	laxˈpor
מִגְדַלוֹר	migdaˈlor
מִשְׁקָפַייִם	miʃkaˈfajim
רַעִיל	raˈʔil
הַזְהַרַה	hazhaˈra
לשמוט	liʃˈmot
בָּמָה	baˈma
תוכל	tuˈxal
קַדִימַה	kaˈdima
להגביל	lehagˈbil
סובלנות	sovlaˈnut
למשמש	lemaʃˈmeʃ
לעגן	leʔaˈgen
לְהַפְסִיד	lehafˈsid
חוֹקֶן	ˈxoken
לֶאֱבוֹת	leʔeˈvot
לנבוט	linˈbot
הַצַעַה	hatsaˈʔa
מְחִיאָה	mexiˈʔa
מְבַקְּשִׁים	mevakˈʃim
רָעוּל	raˈʔul
לְהוֹקִיר	lehoˈkir
מתוח	maˈtuax
לגלגל	legalˈgel
תְּחִייָּה	txiˈja
הַחֻקַה	haxuˈka
הגדלה	hagdaˈla
מעמת	maʔaˈmat
לִשְׁלוֹק	liʃˈlok
הַכְפַּלַה	haxpaˈla
לְהֵירָצֵחַ	leheratˈseax
לֶאֱפוֹף	leʔeˈfof
יַמַה	jaˈma
זִירָה	ziˈra
תַרְכִּיז	tarˈkiz
לְהִשְׁתַּדְרֵג	lehiʃtadˈreg
להתחרפן	lehitxarˈfen
לְהַפְלוֹת	lehafˈlot
להואיל	lehoˈʔil
דְּיוֹנוּן	djoˈnun
לְהַאַמִיר	lehaʔaˈmir
להיפקח	lehipaˈkeax
אָח	ˈax
דלות	daˈlut
התנחלות	hitnaxaˈlut
חֲצוּבָה	xatsuˈva
לְהִתְמַזֵּג	lehitmaˈzeg
מוֹנִית	moˈnit
ביטוח	biˈtuax
קרוי	kaˈruj
מוּבְנֵה	muvˈne
מִצְרִי	mitsˈri
יְחִידָנִי	jexidaˈni
מַחְרֵשָׁה	maxreˈʃa
מחר	maˈxar
צַפוֹנַה	tsaˈfona
כּוֹרַח	ˈkorax
להתחבב	lehitxaˈbev
סכום	sˈxum
לצור	latˈsur
תַסְכִּית	tasˈkit
לארוז	leʔeˈroz
להדהים	lehadˈhim
לְהַנִּיחַ	lehaˈniax
מַחְתֵרֵת	maxˈteret
לִסְחוֹב	lisˈxov
קֵמֵר	ˈkemer
בִּשְׁבִיל	biʃˈvil
לְהַשִּׁיר	lehaˈʃir
להשתוקק	lehiʃtoˈkek
זֵבְּרַה	ˈzebra
הפיך	haˈfix
מנוגד	menuˈgad
לִגְאוֹל	ligˈʔol
הֵיעָדְרוּת	heʔadˈrut
נִיגּוּד	niˈgud
פרישות	priˈʃut
גשש	gaˈʃaʃ
לְהִתְעַכֵּל	lehitʔaˈkel
לסכך	lesaˈkex
לִדְחוֹת	lidˈxot
לְעוֹלַם	leʔoˈlam
בַּאֲרִיכוּת	baʔariˈxut
הַסַחַה	hasaˈxa
הֵיכֵּרוּת	hekeˈrut
כמו	kˈmo
נבון	naˈvon
שְׁחִיתוּת	ʃxiˈtut
גֶּזֶל	ˈgezel
מִקְדַשׁ	mikˈdaʃ
בִּטּוּי	biˈtuj
להזיז	lehaˈziz
קָרַחַת	kaˈraxat
הד	ˈhed
תוֹכִית	toˈxit
עיוות	iˈvut
חוֹמָה	xoˈma
לְהַצְחִיק	lehatsˈxik
מְחוּיָּבוּת	mexujaˈvut
לְהָבִיא	lehaˈvi
לחק	laˈxok
לְהִתְקַמְצֵן	lehitkamtˈsen
מַשְׁקֶה	maʃˈke
להשריש	lehaʃˈriʃ
לְהִיווַּאֵשׁ	lehivaˈʔeʃ
לְהַשְׁלִיט	lehaʃˈlit
לִגְדוֹם	ligˈdom
פַקוּלְטַה	faˈkulta
נַפָּץ	naˈpats
יַמָּה	jaˈma
לְסַלֵּף	lesaˈlef
טַעוּן	taˈʔun
שִׁירָה	ʃiˈra
זקונים	zkuˈnim
חָמֵש	xaˈmeʃ
טוסיק	ˈtusik
היכל	heˈxal
לסטות	lisˈtot
שִׂמְחָה	simˈxa
לְהֵיעַקֵץ	leheʔaˈkets
מיידי	mijaˈdi
זקור	zaˈkur
לְהֵיחָבֵא	lehexaˈve
מוביל	moˈvil
לרדד	leraˈded
להיפנות	lehipaˈnot
לְהִשְׁתַבֵּשׁ	lehiʃtaˈbeʃ
לְהִתְפַדֵּחַ	lehitfaˈdeax
פִּיצּוּץ	pitˈsuts
מעברה	maʔabaˈra
להשוויץ	lehaʃˈvits
חַרְדָּל	xarˈdal
לחרוג	laxaˈrog
תרכיב	tarˈkiv
תִיזְמוּן	tizˈmun
לְהִתְלַקֵט	lehitlaˈket
לַעֲטוֹף	laʔaˈtof
פֶּתֶק	ˈpetek
לְתַמְרֵן	letamˈren
הכרתי	hakaraˈti
דַם	ˈdam
לְהִיגָּבוֹת	lehigaˈvot
חָזֶה	xaˈze
כשרות	kaʃˈrut
אֵמֵת	eˈmet
להתעניין	lehitʔanˈjen
לַעֲזוֹר	laʔaˈzor
הִתְעַמְּלוּת	hitʔamˈlut
בִּיזָּה	biˈza
שפל	ˈʃefel
לְהִיזַרֵק	lehizaˈrek
אַגוּדַל	aguˈdal
רָעָב	raˈʔav
תַפּוּז	taˈpuz
יוֹתֵר	joˈter
דַייַל	daˈjal
בר	ˈbar
לַרִיב	laˈriv
שִׂמְלַה	simˈla
מִמְרַח	mimˈrax
פַקְס	ˈfaks
פֵּתַח	ˈpetax
חֶדְווָה	xedˈva
מָעַט	maˈʔat
שַׁבְרִירִי	ʃavriˈri
נִימוּס	niˈmus
פָּרוּשׁ	paˈruʃ
להתייחס	lehitjaˈxes
לקטרג	lekatˈreg
תַּגְלִית	tagˈlit
לְהֵיעַמֵד	leheʔaˈmed
אומנות	umaˈnut
אוֹפְייַנִי	ofjaˈni
צוואר	tsaˈvar
לְהַדְהֵד	lehadˈhed
לְהַדְגִים	lehadˈgim
הִתְפַּלְגוּת	hitpalˈgut
לְהִתְרוֹצֵץ	lehitrotˈsets
עֵיצָה	etˈsa
רַעַשַׁן	raʔaˈʃan
תְחִייַה	txiˈja
בַּצַל	batˈsal
לְהִימָּדֵד	lehimaˈded
לְהִינַבֵא	lehinaˈve
היגיון	higaˈjon
לְחַלֵּק	lexaˈlek
הרגל	herˈgel
נָא	ˈna
מִכְלָלָה	mixlaˈla
להכביר	lehaxˈbir
תַּלְתָּל	talˈtal
לִכְסוֹס	lixˈsos
קְעָרָה	keʔaˈra
חַג	ˈxag
לְהִילַקֵחַ	lehilaˈkeax
מלאכה	melaˈxa
לְהִתְלוֹצֵץ	lehitlotˈsets
גאולה	geʔuˈla
חֲשַׁאי	xaˈʃaj
הקדם	hekˈdem
נקניק	nakˈnik
גַמוּר	gaˈmur
פְּחִיתוּת	pxiˈtut
הַכַּרַתִי	hakaraˈti
סִיחְרוּר	sixˈrur
מַעֲרָבָה	maʔaˈrava
כוס	ˈkos
הַרִיסַה	hariˈsa
חתוך	xaˈtux
מוּקְפָּץ	mukˈpats
לְהִיווָּכֵחַ	lehivaˈxeax
לְמִידַה	lemiˈda
בְּרִיאוּת	briˈut
מְחוּיָּךְ	mexuˈjax
להיוודע	lehivaˈdea
הַגְשָׁמָה	hagʃaˈma
הִיטַמְעוּת	hitamˈʔut
לתחזק	letaxˈzek
מהודר	mehuˈdar
עננות	anaˈnut
לְהִתְהַדֵּק	lehithaˈdek
מְבוּאַס	mevuˈʔas
יַאכְטָה	ˈjaxta
לנשל	lenaˈʃel
לסייג	lesaˈjeg
לחטט	lexaˈtet
נֵזֵם	ˈnezem
מעולם	meʔoˈlam
לְמַצָּב	lemaˈtsav
לקדד	lekaˈded
חיסור	xiˈsur
להירתם	leheraˈtem
נִיגּוּחַ	niˈguax
לזלוג	lizˈlog
רעות	reˈʔut
תַּכְלִית	taxˈlit
חֵדֶק	ˈxedek
סְפֶּצִיפִי	spetˈsifi
יְשִׁיבָה	jeʃiˈva
גִּיבּוֹר	giˈbor
הַחְייָאָה	haxjaˈʔa
טִבְעוֹנִי	tivʔoˈni
אַרְכַּה	arˈka
מְעוּשֵׂה	meʔuˈse
לְהִתְחַזּוֹת	lehitxaˈzot
טימטום	timˈtum
לְהִתְנַגֵּב	lehitnaˈgev
מקרר	mekaˈrer
לִבְלוֹשׁ	livˈloʃ
נָשִׁי	naˈʃi
לְזַהֵם	lezaˈhem
לברוק	livˈrok
למצות	lematˈsot
לְהַפְצִיעַ	lehaftˈsia
מְאוֹרַע	meʔoˈra
פַּרְשַׁנוּת	parʃaˈnut
מַעַרַכַה	maʔaraˈxa
קִינוּחַ	kiˈnuax
לשכפל	leʃaxˈpel
הִשְׁתַּלְּטוּת	hiʃtalˈtut
חַיֵיבֵת	xaˈjevet
מוּקְדַם	mukˈdam
בַּכְּנֵסֵת	baˈkneset
לְהַפְשִׁיר	lehafˈʃir
דּוֹלְפִין	dolˈfin
לְעַקֵּל	leʔaˈkel
לְהִתְרַצוֹת	lehitratˈsot
להשיל	lehaˈʃil
הִתְנַקְשׁוּת	hitnakˈʃut
לָחוּשׁ	laˈxuʃ
סַייָּף	saˈjaf
סְפָרַד	sfaˈrad
עַרְסָל	arˈsal
אֶתֵּן	aˈten
בַּמַה	baˈma
מַעַמַד	maʔaˈmad
גברתן	gvarˈtan
מִקְצָת	miktˈsat
לְהַרְדִּים	leharˈdim
ביון	biˈjun
לבסס	levaˈses
חַפִירַה	xafiˈra
מדוזה	meˈduza
מַחְשְׁבוֹן	maxʃeˈvon
לַזוּחַ	laˈzuax
לְהָפִיק	lehaˈfik
סֵרֵט	ˈseret
בַּלֶּשֶׁת	baˈleʃet
לחרוק	laxaˈrok
אָסוֹן	aˈson
לְהִצְטָרֵךְ	lehitstaˈrex
להתרגל	lehitraˈgel
לחלוב	laxˈlov
לְהַכְתִים	lehaxˈtim
לְהוֹדִיעַ	lehoˈdia
לְהַעַלִיב	lehaʔaˈliv
לכהות	lixˈhot
תֵקֵן	ˈteken
זמינות	zmiˈnut
לַחוֹן	laˈxon
כִּיעוּר	kiˈʔur
קליעה	kliˈʔa
רַבוּעַ	raˈvua
בַּלֵשֵׁת	baˈleʃet
לְהִתְלַהֵם	lehitlaˈhem
היסטוריה	hisˈtorja
כַּנַף	kaˈnaf
מְצִיצָה	metsitˈsa
בַּשֵׁל	baˈʃel
לְהִיבַּנוֹת	lehibaˈnot
לְהִתְחַלֵּף	lehitxaˈlef
הִירְהוּר	hirˈhur
עַבִירַה	aviˈra
להופיע	lehoˈfia
לְהִתְאַמֵּן	lehitʔaˈmen
מַצוֹד	matˈsod
חֲפִירָה	xafiˈra
תווייה	tviˈja
נֶזֶק	ˈnezek
עֵדֶר	ˈeder
תוֹקְפַנוּת	tokfaˈnut
לְתַאֲרֵךְ	letaʔaˈrex
בְּחִינָּם	bexiˈnam
דְרִיסַה	driˈsa
השהיה	haʃhaˈja
לִנְדוֹף	linˈdof
בִּלְעָדִי	bilʔaˈdi
צְבִיעַה	tsviˈʔa
תעבורה	taʔavuˈra
כִּיבּוּי	kiˈbuj
מִסְמַךְ	misˈmax
סְפִיקַה	sfiˈka
במיחד	bimjuˈxad
לנבול	linˈbol
חתך	xaˈtax
לִגְרוֹעַ	ligˈroa
לְהִינַטֵעַ	lehinaˈtea
תכשיר	taxˈʃir
מַעֲשִׂי	maʔaˈsi
זַקוּף	zaˈkuf
אוּמָּה	uˈma
מְאוּבָּק	meʔuˈbak
תַאַגִיד	taʔaˈgid
שנינות	ʃniˈnut
חִיסוּן	xiˈsun
איום	aˈjom
השנים	haʃaˈnim
לְהִיווַּצֵר	lehivatˈser
לְהָמִיט	lehaˈmit
הַכַנַה	haxaˈna
תַּקְצִיב	taktˈsiv
להוריק	lehoˈrik
חֲתַלְתּוּלוֹנֶת	xataltuˈlonet
יְצִירַתִי	jetsiraˈti
לדרג	ledaˈreg
סֵתֵר	ˈseter
לְהִסְתַמֵן	lehistaˈmen
שַׁחוּט	ʃaˈxut
להשקיט	lehaʃˈkit
גָּרוֹן	gaˈron
שְׁכִינָה	ʃxiˈna
להזדחל	lehizdaˈxel
תסיסה	tsiˈsa
מַעְבַּרַה	maʔabaˈra
לְהִיבָּדוֹת	lehibaˈdot
לְרַצּוֹת	leratˈsot
לְהִיסַפֵר	lehisaˈfer
בדייה	bdiˈja
סוֹכֵן	soˈxen
לְהִישַׁמֵט	lehiʃaˈmet
לְהִסְתַּנְווֵר	lehistanˈver
חַלַשׁ	xaˈlaʃ
חוֹמֶשׁ	ˈxomeʃ
חפיפה	xafiˈfa
לְהַמְהֵם	lehamˈhem
שמאות	ʃamaˈʔut
לַחַצוֹת	laxatˈsot
שקף	ˈʃekef
להתחצף	lehitxatˈsef
עורף	ˈoref
להאפיל	lehaʔaˈfil
ספיגה	sfiˈga
להנהיג	lehanˈhig
להאחיד	lehaʔaˈxid
לסקור	lisˈkor
בניין	binˈjan
עַלוּל	aˈlul
לְשַׁכֵּן	leʃaˈken
לִנְקוֹף	linˈkof
פגיע	paˈgia
לְהִתְחַדֵּשׁ	lehitxaˈdeʃ
לְהִסְתַּפֵּחַ	lehistaˈpeax
מעל	meˈʔal
נוּדְנִיק	ˈnudnik
כֵּיפִי	keˈfi
יהב	jeˈhav
יַשְׁנוּנִי	jaʃnuˈni
פונדקאית	pundekaˈʔit
לְהַחְזִיק	lehaxˈzik
מפואר	mefoˈʔar
לְהָעִיר	lehaˈʔir
התשה	hataˈʃa
שִׂיחַ	ˈsiax
עַלִיַה	aliˈja
אורז	ˈorez
אַווִיר	aˈvir
קָצִין	katˈsin
לְהִשְׁתַּכֵּן	lehiʃtaˈken
נותר	noˈtar
לְהִשְׁתַטוֹת	lehiʃtaˈtot
לְמַרֵק	lemaˈrek
לִצְהוֹל	litsˈhol
קַנָּאוּת	kanaˈʔut
לשגשג	lesagˈseg
תִשְׁלוֹבֵת	tiʃˈlovet
הַבִּטּוּחַ	habiˈtuax
קַסְדַה	kasˈda
הֲנָאָה	hanaˈʔa
דֻגְמַה	dugˈma
לְהִצְטַחְצֵחַ	lehitstaxtˈseax
חסכנות	xasxaˈnut
בַּסִיס	baˈsis
לְהַכִּיר	lehaˈkir
פֵּגֵר	ˈpeger
כתבה	kataˈva
כַּדּוּר	kaˈdur
חסידה	xasiˈda
לבטוח	livˈtoax
בַּשָּׁנִים	baʃaˈnim
פָּזִיז	paˈziz
דוֹחֵה	doˈxe
להמליט	lehamˈlit
לְמַזֵּג	lemaˈzeg
תַּמְרוּר	tamˈrur
לַעֲרוֹם	laʔaˈrom
סְנִיף	sˈnif
קְצִיצָה	ktsitˈsa
לְנַשֵּׁב	lenaˈʃev
סוֹלְלָה	soleˈla
חוּקִי	xuˈki
לְהִיפַּטֵר	lehipaˈter
שַׁייִשׁ	ˈʃajiʃ
הַסַעַה	hasaˈʔa
לַעַזוֹר	laʔaˈzor
נִיגּוּן	niˈgun
מֵכֵס	ˈmexes
אָחִיד	aˈxid
חַבוּרַה	xavuˈra
פְּקִיעָה	pkiˈʔa
גַדוּשׁ	gaˈduʃ
להפגיז	lehafˈgiz
בְּעִנְיַין	beʔinˈjan
חרא	ˈxara
אפלה	afeˈla
לְווַדֵּא	levaˈde
להישלף	lehiʃaˈlef
לְהִיסָּקֵר	lehisaˈker
תוֹדַעַה	todaˈʔa
לְפַרֵט	lefaˈret
מַחֲסֶה	maxaˈse
אחוריים	axoˈrajim
שכיר	saˈxir
לְהִידַרֵךְ	lehidaˈrex
אוּכְמַנִית	uxmaˈnit
לִגְדּוֹם	ligˈdom
מנעול	manˈʔul
סל	ˈsal
חֲטִיבָה	xatiˈva
זַכְייָן	zaxˈjan
להתרופף	lehitroˈfef
הַתְרָאָה	hatraˈʔa
להתרפות	lehitraˈpot
הקלטה	haklaˈta
לְסַפֵּק	lesaˈpek
צַעִיף	tsaˈʔif
לצרום	litsˈrom
תְּלוּשׁ	tˈluʃ
להתקמט	lehitkaˈmet
דְּרִיסָה	driˈsa
שנון	ʃaˈnun
פסיכולוגיה	psixoˈlogja
לְהַקְבִּיל	lehakˈbil
צוֹהַר	tˈsohar
לטהר	letaˈher
מסחר	misˈxar
זמירה	zmiˈra
הנצחה	hantsaˈxa
שִׁיּוּר	ʃiˈjur
שָׂשׂוֹן	saˈson
כּוֹשֵׁר	ˈkoʃer
עִיתוֹנוּת	itoˈnut
לנקוב	linˈkov
קָלוֹן	kaˈlon
הִתְפָּרְצוּת	hitpartˈsut
שְׁעַתַייִם	ʃeʔaˈtajim
חִידוּשׁ	xiˈduʃ
יְשִׁיבַה	jeʃiˈva
לַעַגוֹב	laʔaˈgov
מְמוּתַק	memuˈtak
הִתְבַּגְּרוּת	hitbagˈrut
סילוף	siˈluf
טירוף	teˈruf
לִכְתוֹשׁ	lixˈtoʃ
הַקְלָדָה	haklaˈda
מגש	maˈgaʃ
צִילוֹן	tsiˈlon
לְהֵירַשֵׁם	leheraˈʃem
להורות	lehoˈrot
נִפְלַא	nifˈla
מרקע	mirˈka
להסתדר	lehistaˈder
לְהִתְעַרֵב	lehitʔaˈrev
דַווְשַׁה	davˈʃa
שִׁיטַתִי	ʃitaˈti
קידומת	kiˈdomet
לִשְׁקוֹד	liʃˈkod
צחיח	tsaˈxiax
רַמַה	raˈma
הִתְנַחַלוּת	hitnaxaˈlut
מעשה	maʔaˈse
בּוֹלְעָן	bolˈʔan
שֵׁתֵל	ˈʃetel
נזם	ˈnezem
הֲרֵי	haˈrei
רַז	ˈraz
כותל	ˈkotel
לְחַקּוֹת	lexaˈkot
גניבה	gneˈva
מצפן	matsˈpen
שפם	saˈfam
תַווֵךְ	ˈtavex
שְׁנַייִם	ʃˈnajim
בִּזְכוּת	bizˈxut
שִׁיכְנוּעַ	ʃixˈnua
אוֹרְייָנ	orˈjan
אִישׁ	ˈiʃ
לְהֵיאָשֵׁם	leheʔaˈʃem
בְּמַהַלַךְ	bemahaˈlax
סוכן	soˈxen
בֵּרֵךְ	ˈberex
כרך	ˈkerex
יָשׁוּב	jaˈʃuv
וְזֹאת	veˈzot
ממשי	mamaˈʃi
לִשְׁאוֹב	liʃˈʔov
לְייָאֵשׁ	lejaˈʔeʃ
סֵט	ˈset
לְהַשְׁהוֹת	lehaʃˈhot
לְהִינַטֵל	lehinaˈtel
בן	ˈben
להשביר	lehaʃˈbir
לְייַגֵעַ	lejaˈgea
יומי	joˈmi
שֶׁהַנּוֹשֵׂא	ʃehanoˈse
חילטור	xilˈtur
חַצִיר	xatˈsir
מַרְגָּשׁ	marˈgaʃ
הַמְחָאָה	hamxaˈʔa
אַשֵׁם	aˈʃem
להקביל	lehakˈbil
חָרוֹן	xaˈron
בוא	bo
נוף	ˈnof
לזווד	lezaˈved
להצטלם	lehitstaˈlem
שָׁגוּי	ʃaˈguj
ינשוף	janˈʃuf
תְּזוּזָה	tsuˈza
טִרְדַה	tirˈda
לָכֵן	laˈxen
תרנגול	tarneˈgol
אוהד	oˈhed
מַחַזַאי	maxaˈzaj
צר	tˈsar
