דִּ מְ י וֹן	di mˈ j on
לְ הַט ְ בִּי עַ	le hat ˈ bi a
ה ז ז ה	h azaˈ z a
ת י ב ו ת	te ˈ v o t
ל ה ו ע יד	le h oˈ ʔ id
לְ מַ לְ כֵּ ד	le ma lˈ ke d
לְ צַ יֵּ י ן	le tsa ˈj e n
יְ לַ לַה	je laˈ la
ל התי יש ב	le hitj aˈʃe v
ר ק י ע	raˈ k i a
ח ת ו ם	xa ˈt u m
חֲ בִי תָ ה	xa viˈ t a
מִ סְ ת וֹ רִי ן	mi s t oˈ ri n
לְ הַ מְ תִּ יק	le ha mˈ t ik
לְ הַ ע ֲ נִי ק	le ha ʔ aˈ ni k
מַ נְ ג וֹ	ˈma n g o
מַ חְ ס וֹ ם	ma xˈ s o m
מִ זְ וו ָ דָ ה	mi z va ˈ d a
לְ ב ִ טְ ח וֹן	le v i tˈ x on
מ וּ בְ טַ ל	m u vˈ ta l
לְ הִ י ו וַּ כֵ חַ	le h i v aˈ xe ax
ל מ ש ו ך	l imˈ ʃ o x
פִּי גּ וּעַ	piˈ g ua
לְ הִ צְ טַ לֵּ ם	le hi ts taˈ le m
לְ הִ י ווּ ָ כֵ חַ	le h i va ˈ xe ax
לְ א וֹ ם	leˈ ʔ o m
קַ נָּ א וּת	ka naˈ ʔ ut
צַ י יַ ד	tsaˈ j a d
מִי קּ וּ ר	miˈ k u r
לְ הֵי עַ נֵ שׁ	le he ʔaˈ ne ʃ
חטו ף	xaˈtu f
בַּ קָּ רָ ה	ba kaˈ r a
מא ו ב ן	meʔ uˈ b an
ק ר י ר	kaˈ r i r
עֵ קֶ ב	ˈe ke v
ה ד בר ה	h ad ba ˈra
לְ הִ יתַ מֵ ךְ	le hi taˈ me x
ל רא י י ן	le raˈ j e n
חֲ בֵ רִי ם	xa veˈ ri m
ל הת ע נ ג	le hitʔ a ˈne g
ל ה י ע ק ר	l e h e ʔaˈke r
לַ חְ ת וֹר	la xˈ t or
אַ פְ לַ יַה	a f laˈ ja
ה ש ת ת פ ות	hi ʃ t atˈ f ut
פֶּ צַ ע	ˈpe ts a
ל הת ג ר ד	le hit g aˈre d
פִּ תְ גָּ ם	pi tˈ ga m
לְ הִ תְ נַ קּ ֵ שׁ	le h it naˈ k e ʃ
ל נ ט ר	le na ˈte r
ת ח ו ל ה	t x uˈ l a
לְ הִ זְ דַּ חֵ ל	le hi z daˈ xe l
טִי חַ	ˈti ax
מְ ק וּ טָּ ע	me k uˈ t a
וַ תִי ק	vaˈ ti k
ל נ ס ו ת	le na ˈs o t
ס וֹ טֶ ה	s o ˈt e
צ וּ ר	tˈs u r
לַ ז וּעַ	laˈ z ua
נְ ס וֹר ֶ ת	neˈ s or e t
חִ י שּׁ וּ ב	xi ˈ ʃ u v
כ ר ך	ˈke re x
סי כ ו ן	siˈ k u n
לְ הִ צְ טַ דֵ ק	le hi ts taˈ de k
יַ כְ טַה	ˈja x ta
לְ שַׁ לֵּ ט	le ʃaˈ le t
פי נה	piˈ na
לְ ו וַ סֵ ת	le v aˈ se t
צ ד ף	tˈse de f
לְ הַ רְ קִי עַ	le ha rˈ ki a
ט וּ שׁ	ˈt u ʃ
סְ טִי יָּ ה	s tiˈ j a
פִּי זּ וּ ר	pi ˈz u r
ל מל ו ך	l imˈl o x
לְ הֵי רָ שֵׁ ם	le he raˈ ʃe m
סִ בָּ ה	siˈ b a
מ ב וג ר	me v uˈga r
מִ רְ וו ַח	mi r ˈv ax
ל ה ינ ב א	le hi na ˈv e
אַ מִּ י ץ	aˈ m i ts
זִ י מְ ז וּ ם	z i mˈ z u m
סַ כַּ נַה	sa kaˈ na
מַע ֲ לִי ת	maʔ aˈ li t
ק ל י ע ה	k l iˈ ʔ a
שְׁ עַ תַי יִ ם	ʃe ʔaˈ taj i m
דִּ יק ְ ל וּ ם	d ik ˈ l u m
מוֹת ֵ ק	ˈmot e k
סְ פִ י קַה	s fi ˈ ka
גֶּ שֶׁ ר	ˈge ʃe r
לְ י יַ דֵּ עַ	le j aˈ de a
ל פר ך	le faˈre x
צ ל י י ה	ts l iˈ j a
ת ק י ע ה	t k iˈ ʔ a
ר ן	ˈra n
נָ כֶ ה	naˈ x e
הֵ לֵ ם	ˈhe le m
ל ה ש ת ת ף	le hi ʃ ta ˈte f
לְ הִ ת ְחַ לֵ ק	le hi t xaˈ le k
ת וג ה	t uˈg a
מי ל י ם	miˈ l i m
לְ הָ עִי ר	le haˈ ʔi r
לְ הִ סְ תַ דֵ ר	le hi s taˈ de r
שַׁ לֵ ו	ʃaˈ le v
פַּ קֶּ קֶ ת	paˈ ke ke t
לְ ה וֹ זִ י ל	le h oˈ z i l
עֵ רֶ ךְ	ˈe re x
שַׁ ל וּ חַ	ʃaˈ l u ax
כּ ְרִי יַה	k riˈ ja
ל ה יח ט ף	le h exaˈ te f
נֵ פַ ח	ˈne fa x
עִי מּ וּת	iˈ m ut
לְ הַ ווּ ֵ ן	le ha ˈv e n
ש ג ר ת י	ʃi g raˈ t i
לְ נַ סֵ ר	le naˈ se r
לְ לַ קֵ ק	le laˈ ke k
לְ שַׁ בֵּ ט	le ʃaˈ be t
עֵ ט	ˈe t
מְ ד וּ גַ ם	me d uˈ ga m
חַ קְ לָ אִי	xa k laˈ ʔi
ל ה י מח ץ	le h i maˈxe ts
לִ גְ שׁוֹר	li gˈ ʃor
מְ חוֹר ָ ץ	me xoˈr a ts
שְׁ תִי ל	ʃˈ ti l
ב ינ ה	b iˈn a
לְ הַ שְׁ תִי ת	le ha ʃˈ ti t
פִּי תּ וּ י	piˈ t u j
ל ח ס פ ס	le xa s ˈpe s
לְ הִ יז ַ עֵ ם	le h iz aˈ ʔe m
גְ מִי רַה	g miˈ ra
לְ הִ יזָּ כֵ ר	le h izaˈ xe r
ג לא י	g aˈla j
תַּ כְ רִי ךְ	ta xˈ ri x
ר וש ם	ˈr oʃe m
לִנְ גּ וֹ ס	linˈ g o s
ל ש ע ו ט	l iʃˈ ʔ o t
לְ מַ צְ מֵ ץ	le ma tsˈ me ts
אֵ י זֵה	ˈe i ze
פַּ רְ שָׁ ן	pa rˈ ʃa n
דו ד א	duˈ d a
חַ יָּ ה	xaˈ j a
מצ ב	matˈsa v
עַ לִּ יז	aˈ l iz
מ מ ש ל ת י	me m ʃ alˈ t i
ל ח וו ט	le xa ˈve t
מ וֹ לֶ דֶ ת	m oˈ le de t
ל ה נ ץ	le h aˈne ts
חַ תִי מַה	xa tiˈ ma
קַ ד וֹ שׁ	kaˈ d o ʃ
מֵ שֵׁ ךְ	ˈme ʃe x
ר פי ד ה	re fiˈ d a
אֵ ינְ סְ פ וֹר	e in sˈ f or
עַ מ וּ ס	aˈ m u s
טה ור	taˈh or
פִּ תְ א וֹ ם	p it ˈ o m
ל דו ב ב	le do ˈve v
מ מ ת ק	ma m ˈta k
לְ הִ שְׂ תַ רֵ עַ	le hi s taˈ re a
ת ק ש ור ת	t ikˈ ʃ ore t
מ ב ט א	mi v ˈt a
חַ מְ סַ נ וּת	xa m saˈ n ut
תא וצ ה	teʔ utˈs a
לְ הַ קְ דִי חַ	le ha kˈ di ax
שִׁ י כְ נ וּעַ	ʃ i xˈ n ua
לְ בַ טֵ חַ	le vaˈ te ax
נ ט ף	ˈne te f
לְ הַ שְׁ פּ ְרִי ץ	le ha ʃ p ˈri ts
מ סר ג ה	ma sre ˈg a
הִ סְ תַּ יְּ ג וּת	hi s ta jˈ g ut
לְ הִ י כָּ בֵ ל	le h i kaˈ ve l
לֵא ֵ ג וֹ ף	leʔ eˈ g o f
חי ר ו ם	xeˈ r u m
שֶׁ מֶ ץ	ˈʃe me ts
ה ש ת ל ש ל ות	hi ʃ ta l ʃe ˈl ut
מ ר ח ב	me rˈ xa v
רַע ֵ ב	raˈʔ e v
לְ הַ פְ קִי ד	le ha fˈ ki d
ל דר ג	le daˈre g
ל ק רא ת	l ikˈ ra t
לְ הִ י בָּ לֵ ם	le h i baˈ le m
ל הת ק י ן	le hatˈ k i n
שְׁ לִי לִי	ʃ liˈ li
תַ עַ שֵׂה	ta ʔa ˈse
קַ שִׁי שׁ	kaˈ ʃi ʃ
כ ד י	k eˈde i
מְ א וּ רָ ה	me ʔ uˈ r a
לְ הַ קְ צוֹ ת	le ha k tˈso t
מֶ מְ שָׁ לָ ה	me m ʃaˈ l a
לְ הִ ידַ מ וֹת	le hi daˈ m ot
לְ שַׁ פֵּ עַ	le ʃaˈ pe a
לְ תַ קְ צ ֵ ב	le ta k tˈs e v
ל נ ו ח	l aˈn u ax
לְ הֵי הָ דֵ ף	le he haˈ de f
לע ר ב	leʔ aˈre v
מי צו ב	mi tˈsu v
אַ רְ כָּ ה	a rˈ k a
לְ עַ רְ פֵּ ל	le ʔa rˈ pe l
ל ר ג ו ז	l irˈ g o z
כ וו ר ן	k avˈ r an
ל ה יח ל ץ	le h exaˈ le ts
ל ה ק ב י ל	le h akˈ b i l
חִ יּ וּ בִי	xi j uˈ vi
דֵבֵ ר	ˈdeve r
מַע ֲ לָ לִי ם	maʔ a laˈ li m
לְ דַ בֵּ ב	le daˈ be v
ל יק ו ץ	l iˈk o ts
לְ עַ דֵ ן	le ʔaˈ de n
ס ח ופ ת	sˈ x ofe t
סֵ ל וּ לַ רִי	se l uˈ la ri
תַ פֵ ל	taˈ fe l
ל ד בר י	le d ivˈre i
ל ה ז דו ו ג	le hi z daˈv e g
לְ הִ תְפַּ דֵּ ר	le hi tpaˈ de r
שי ב ו ל ת	ʃiˈ b o le t
שִׁי טַ פ וֹן	ʃi taˈ f on
גִ י שׁ וּ שׁ	gi ˈ ʃ u ʃ
לְ דַ לּ וֹת	le daˈ l ot
מ ת כ ת	ma ˈte xe t
לְ הַ לֵ ךְ	le haˈ le x
לִ סְ ל וֹ ל	li sˈ l o l
לְ הִ יסַ תֵ ר	le h isaˈ te r
בָּ רָ ד	baˈ ra d
לִ קְ ד וֹר	li kˈ d or
ת ש ומ ת	t s uˈme t
הֶ חְ לֵ ט	he xˈ le t
טִי ּ וּ חַ	ti ˈj u ax
ל הת ר ח ץ	le hit raˈ x ets
לְ לַ טֵ שׁ	le laˈ te ʃ
תַּ דְ מִי ת	ta dˈ mi t
תַּ ע ֲ ס וּ קָ ה	ta ʔ a s uˈ k a
גִ י ל וּ חַ	gi ˈ l u ax
לְ הַ שְׁ קִי עַ	le ha ʃˈ ki a
ל צ נ ו ח	l itsˈ n o ax
צָ ל וּ י	tsaˈ l u j
לְ הִ תְ נַ גֵ ן	le h it naˈ ge n
מ וּ זַ ר	m uˈ za r
צוֹ ם	tˈso m
מְ ד וּ פּ ְ לָ ם	me d u p ˈ la m
י ל ל ה	j e la ˈla
מ ר ח ק	me rˈ xa k
לַ שִׁי ת	laˈ ʃi t
ח וֹ בֵ רֵ ת	x oˈ ve re t
חַ לִי לִי ת	xa liˈ li t
פַּ רְ פָּ ר	pa rˈ pa r
סי כ ו ם	siˈ k u m
אַ כְ זַ רִי וּת	a x za riˈj ut
ל ה יט ר ף	le hi ta ˈre f
ל פ נ י ם	le faˈ n i m
מ פ ל	ma ˈpa l
נ וצ ה	n otˈs a
אַ לּ וּ ף	aˈ l u f
מח ז א י	maxaˈ z a j
לַע וּ ף	laˈʔ u f
תֵ פֵ ר	ˈte fe r
זַ כְ י יָ ן	za xˈ j a n
ת ז וז ה	t s uˈz a
לְ הִ יטַ פֵ ל	le hi taˈ fe l
מַ זְ כֵּ רֵ ת	ma zˈ ke re t
מ ש דר	mi ʃˈ dar
לְ הִ יקַ טֵ ף	le h ikaˈ te f
פּ ְלִי שָׁ ה	p liˈ ʃ a
הֶ פְ קֵ ר וּת	he f keˈ r ut
ל ה ות י ר	le h oˈt i r
גִ י ע ְ ג וּעַ	gi ʔ a ˈ g ua
דּ וּ גְ מָ ה	d u gˈ m a
ל מל ט	le maˈle t
ר צי ת י	raˈ tsi t i
אֵ י כ וּת	e iˈ x ut
ל חי י ב	le xaˈj e v
י וס ף	j oˈse f
הַ בִּ טַ ח וֹן	ha bi taˈ x on
נ יג ו ח	n iˈg u ax
עִי ת וֹ נַא וּת	i t o naˈʔ ut
ס וּ כָּ רִי יָּ ה	s u ka riˈ j a
פִּי לְ פֵּ ל	pil ˈ pe l
פ נ ו י	p aˈn u j
פּ וּ נְ דּ ְ קָ אִי ת	p u n d e kaˈ ʔi t
כַּ תָּ ב	kaˈ ta v
שְׁ חִ ית וּת	ʃ xi ˈt ut
תַּ א ֲגִ יד	ta ʔ aˈg id
בּ וֹ שֵׂ ם	ˈb o se m
פ ל ך	ˈpe le x
עֶ רֶ ב	ˈe re v
שִׁ לְ י יַ נִי	ʃi l j aˈ ni
ז נ ג ב י ל	ˈza n g v i l
בְּ עָ יָ ה	be ʔaˈ j a
מ נ יח	m aˈn ix
ע י י ף	aˈ j e f
לְ ד וֹ בֵ ב	le d oˈ ve v
ל ה ח ר יד	le h axˈ r id
לְ הַ עִי ז	le haˈ ʔi z
לא ל ת ר	leʔ alˈ te r
גֵּ ט	ˈge t
ש מי ע ה	ʃ miˈ ʔ a
ק וֹ שִׁ י	ˈ ko ʃ i
דְ לִי ק וּת	d liˈ k ut
פ ג ם	p ˈga m
חָ ר וּ ץ	xaˈ r u ts
שֶׁ רֹ א שׁ	ʃe ˈr o ʃ
לְ הִ יד ַּ י יֵּ ן	le h id a ˈ je n
מִ קְ צוֹ עִי	mi k tsoˈ ʔi
לְ הִ י שָּׁ לֵ ף	le h i ʃaˈ le f
הַ א וֹ צַ ר	ha o ˈ tsa r
י וֹ גַה	ˈj o ga
דּ ְלַ עַ ת	d ˈla ʔa t
ל ג דו ל	l igˈ do l
לִ פְ ת ֹ ר	li fˈ t o r
לִ שְׁ א וֹ ב	li ʃˈ ʔ o v
ד ק יק	daˈ k ik
לַ ר וֹן	laˈ r on
ל י ד	le ˈj ad
לִ בְ ל וֹ ל	li vˈ l o l
הִ ת ְחַ ר וּת	hi t xaˈ r ut
לִנְ ק וֹ ם	linˈ k o m
ק נ י י ה	k n iˈ j a
מל ח	ˈmel ax
נֶ א ֱ מָ נ וּת	ne ʔ e maˈ n ut
שַׁ אַ נַ ן	ʃa ʔaˈ na n
חַ רֵ דִי	xa reˈ di
לְ חַ תֵ ךְ	le xaˈ te x
ז ק ו ף	zaˈ k u f
ת ק ל ה	ta kaˈ l a
י וש ב י ם	j oʃ ˈv i m
חִ ית וּ ל	xi ˈt u l
ג מי ל ה	g miˈ l a
לְ י יַ סֵּ ר	le j aˈ se r
לְ צַ דֵ ק	le tsaˈ de k
כּ ְ תִי ב	k ˈ ti v
מֶ לַ ח	ˈme la x
ל ה י פ ט ר	le h i pa ˈte r
כ ו ב ע	k oˈ v a
לְ הִ ינ ָּ טֵ ל	le h in aˈ te l
לְ רַ טֵ ט	le raˈ te t
בַּ יִ ת	ˈba ji t
לְ הִ ת ְמַ סֵּ ד	le hi t maˈ se d
ל ט ב ו ע	l itˈ b o a
לָ ח וּ ג	laˈ x u g
נַ פַּ ח	naˈ pa x
א ח ו ת	aˈ x o t
לְ הֵי חַ לֵ ק	le he xaˈ le k
לְ הִ זְ דַּ י יֵּ ן	le hi z da ˈ je n
ל ס פ ו ק	l isˈ p o k
לְ הִ י ווּ ָ אֵ שׁ	le hi v aˈ ʔ e ʃ
כ ות ל	ˈ kote l
לְ הַ פְ גִּ י שׁ	le ha fˈ g i ʃ
לְ הַ סְ פִּי ק	le ha sˈ pi k
בְּ הֶ חְ לֵ ט	be he xˈ le t
פ ג ז	pa ˈga z
ל ה יח ב ט	le h exa ˈve t
ז נ י ח	zaˈ n i ax
שְׂ ר וֹ ךְ	sˈ r o x
ל צו ד	la tˈsu d
לְ קַ נֵּ ן	le kaˈ ne n
עוֹ נַה	oˈ na
ל ג ר ו ם	l igˈ r o m
לְ הִ זְ דַ עֵ ק	le hi z daˈ ʔe k
לְ בַ קֵ ר	le vaˈ ke r
הַ שְׁ הַ יַה	ha ʃ haˈ ja
ל הת ה ל ל	le hit h aˈle l
לְ הַ קְ טִי ן	le ha kˈ ti n
לִ זְ עוֹ ק	li zˈ ʔo k
ש ב י	ˈʃe v i
מִי ל וֹן	miˈ l on
ח מא ה	x emˈʔ a
קְ רַ ב	kˈ ra v
לְ בַ תּ ֵ ק	le vaˈ t e k
לְ לַ פֵּ ת	le laˈ pe t
מל ט	ˈmele t
לִ דְ א וֹ ב	li dˈ ʔ o v
לְ הִ תְ בָּ רֵ ר	le h it baˈ re r
לָ שׁ וּ ף	laˈ ʃ u f
לְ הִ צְ טַ וּ וֹת	le hi ts taˈ v ot
לְ הִ י פָּ לֵא	le h i paˈ le
מָ צ וּ י	ma tˈs u j
גּ וֹ זָ ל	g oˈ za l
שַׁ עַ ר	ˈʃa ʔa r
מַ סְ נֵ ן	ma sˈ ne n
ל ב ט ח	le v aˈte ax
מ ז ג	ˈme ze g
ת ְשׂ וּ מֵ ת	t s uˈ me t
דִ מְ עַה	di mˈ ʔa
לְ הִ ידַ רֵ ךְ	le hi daˈ re x
חט י ף	xaˈt i f
ל הת א ז ן	le hitʔ aˈ ze n
לִ קְ צוֹ ץ	li k tˈso ts
לְ הִ יד ָּ רֵ שׁ	le h id aˈ re ʃ
מִ זְ רַ ח	mi zˈ ra x
תִי מַה וֹן	ti maˈh on
ג ר ג ר	g arˈ ge r
ג ב ינ ה	g v iˈn a
ל ח ר וג	la xa ˈr og
לְ הִ שְׁתַּ נֵּ ק	le hi ʃtaˈ ne k
בְּ טִי ח וּת	b tiˈ x ut
בִּי קּ וֹר ְ תִּ י	bi k or ˈ t i
לְ הִ זְ דַ י יֵ ן	le hi z daˈ j e n
נֵ חַ מַה	ne xaˈ ma
מ וּ חַ שׁ	m uˈ xa ʃ
פּ ְלַ דַה	p laˈ da
לְ הַ רְ דִּ י ם	le ha rˈ d i m
ל ה יח ק ק	le h exa ˈke k
לְ הִ ת ְגַ רֵ ד	le hi t gaˈ re d
לְ הִ תְ עָ ר וֹת	le hi tʔ aˈ r ot
ע נ ף	aˈ na f
חֶ שְׁ בּ וֹ נִי ת	xe ʃ b oˈ ni t
ל ה ש ת ל ט	le hi ʃ ta ˈle t
כּ ְבִי דַה	k viˈ da
לְ אַ מְ לֵ ל	le ʔa mˈ le l
בְּ מַ צַ ב	be maˈ tsa v
לִ תְ א וֹ ב	li tˈ ʔ o v
ק ר ו ן	kaˈ r o n
ל ה צ מי ח	le h atsˈ mia x
ל ה ש ת ט ח	le hi ʃ ta ˈte ax
ל פ ת ל	le faˈ te l
פּ וּ נְ דְ קַ אִי ת	p u n de kaˈ ʔi t
ל ה ס גי ר	le h asˈ gi r
לְ י יַ עֵ ץ	le j aˈ ʔe ts
לְ הִ תְ בּ וֹ לֵ ל	le h it b oˈ le l
מְ נ וּ סֶּ ה	me n uˈ s e
מַא ֲ גָ ר	maʔ aˈ ga r
לְ טַ גֵ ן	le taˈ ge n
עַ קְ רָ ב	a kˈ ra v
הַ ג וּ ן	haˈ g u n
מֵ רֵ ד	ˈme re d
חָ תִי ךְ	xaˈ ti x
קַ ר וֹ ב	kaˈ r o v
לִ רְ כּ וֹ ס	li rˈ k o s
ת ם	ˈta m
צ נ י ע ות	ts n iˈ ʔ ut
לְ רַ ווּ ֵ חַ	le ra ˈv e ax
כ ו ח	k oˈ ax
חֲ תִי מָ ה	xa tiˈ m a
בָּ זֶ ה	baˈ z e
לְ קַ מֵּ ט	le kaˈ me t
ל הת ר ו ק ן	le hit r o ˈke n
ס פור טא י	s porˈ ta j
לְ תַ סְ כֵּ ל	le ta sˈ ke l
ל ח וו ת	le xa ˈvo t
ס חט נ ות	sa xt aˈn ut
לִ קְ ר וֹעַ	li kˈ r oa
נַא	ˈna
לְ הֵי רָ גֵ עַ	le he raˈ ge a
לִ דְ ר וֹ ךְ	li dˈ r o x
ל רצ ף	le ratˈse f
לְ דַ י יֵ ק	le daˈ j e k
מַ סּ וֹעַ	maˈ s oa
לִ שְׁ בּ וֹר	li ʃˈ b or
לַ נ וֹ שֵׂא	la n o ˈse
לְ סַ מֵ ל	le saˈ me l
ח פי ר ה	xa fiˈ r a
ת נ ע ו ל ת	t inˈ ʔ o le t
לְ הַחְ זִ יק	le haxˈ z ik
לְ סַ גֵּ ף	le saˈ ge f
ק ל ד ן	k alˈ da n
ל פר ו ף	l ifˈr o f
עַ דְ כַּ נִי	a d kaˈ ni
יַ רַ ק	jaˈ ra k
ח וֹ בֵ ל	x oˈ ve l
שְׁ כִ י נַה	ʃ x iˈ na
י ד	ˈj ad
זִ י מַה	zi ˈ ma
לְ הִ יגַ רֵ ר	le hi gaˈ re r
ס ט י י ה	s t iˈ j a
ל נ ג ו ח	l inˈ g o ax
ל ה חט י א	l e haxaˈ t i
נ י מו ס	n iˈ mu s
מַ גְ רֵ פָ ה	ma g reˈ f a
ל ט ב ו ח	l itˈ b o ax
לְ עַ טּ ֵ ר	le ʔa ˈt e r
דַּ י יָּ ג	da ˈ ja g
שׁ וֹ ק וֹ לָ דָ ה	ʃ o k oˈ la d a
ל ה י ה ד ף	le h e h aˈde f
לְ צַ י יֵ ר	le tsaˈ j e r
ל כ ש ור	l ixˈ ʃ or
ל היס פ ר	le hisaˈ fe r
לְ הִ סְ תַּ לֵּ ק	le hi s taˈ le k
ד וּ גְ מַ נִי ת	d u g maˈ ni t
ח וז ה	x oˈz e
ט י ר ו ף	te ˈ r u f
ל ס נ ג ר	le sa nˈ ge r
ל ה י א ל ם	le h e ʔ aˈle m
לְ הִ ת ְכַּ נֵּ ס	le hi t kaˈ ne s
פֵּרֵ ם	ˈpere m
עֵ גֵ ל	ˈe ge l
צי נ ר ור	tsi nˈ r ur
לְ הִ יכַּ שֵׁ ל	le h ikaˈ ʃe l
הַ זַ נַה	ha zaˈ na
ל י ר ו ט	l iˈ r o t
הת א י יד ות	hitʔ a j ˈd ut
ל הת פ ת ח	le hit pa ˈte ax
לְ נָ אֵ ף	le naˈ ʔe f
ת ְסִ י סַה	t s iˈ sa
ת ח זי ת	ta xa ˈzi t
לִנְ עוֹ ץ	linˈ ʔo ts
מלא	maˈle
לְ כ ַחְ כֵּ חַ	le x axˈ ke ax
הִ י ווּ ָצְ ר וּת	h i va tsˈ r ut
ל הת מ ר מ ר	le hit ma rˈ me r
הַ סְ בַּ רַה	ha s baˈ ra
נִ סְ תָּ ר	ni sˈ ta r
ל הת נ ע נ ע	le hit na ʔ aˈne a
לְ הִ תְ עַ מֵ ר	le hi tʔ aˈ me r
ל הת מ ג נ ט	le hit ma g ˈne t
זִ י קִי ת	zi ˈ ki t
מַא ַ דִי ם	maʔ aˈ di m
תִי פְ ק וּ דִי	ti f k uˈ di
נַ קְ נִי קִי יָּ ה	na k ni kiˈ j a
שי נ ו ן	ʃiˈ n u n
אַ מִי ן	aˈ mi n
רִי ק	ˈri k
ל נ ש ב	le na ˈʃe v
כֵּ ס	ˈke s
רָ ע וּעַ	raˈ ʔ ua
מא ור ע	meʔ oˈr a
מ מל כ ת י	ma mla xˈ t i
לְ הִ ישַׁ בֵ ר	le h iʃaˈ ve r
לְ הַ סּ וֹת	le haˈ s ot
צ ֶ לֶ ם	tˈs e le m
מ ש מ ע	ma ʃˈ m a
ל פ צ ח	le f atˈse ax
לְ הַ א ֲ בִי ד	le ha ʔ aˈ vi d
לְ מַ תּ ֵ ג	le maˈ t e g
הֵ רֵ ף	ˈhe re f
ל ט ר וד	l itˈ r od
מְ דִי נִי ּ וּת	me di ni ˈj ut
תַּ סְ מִי ן	ta sˈ mi n
ר ס ן	ˈre se n
מ ש ך	ˈme ʃe x
לְ רַ ת וֹת	le raˈ t ot
מ ט ב ח	mi t ˈba x
ל ה יש מ ד	le hi ʃaˈ me d
לְ הֵי חָ ז וֹת	le he xaˈ z ot
ט ור	ˈt ur
לְ הִ סְ תַּ תּ ֵ ר	le hi s taˈ t e r
ל ה בר יז	le h avˈr iz
לְ הֵי רָ כֵ שׁ	le he raˈ xe ʃ
לְ הַ בִי ךְ	le haˈ vi x
ל ה י פ ך	le ˈh e fe x
נְ טִי לָ ה	ne tiˈ l a
צי ת ות	tsiˈ t ut
לְ הִ ת ְקַ שֵׁ ט	le hi t kaˈ ʃe t
רַ ב	ˈra v
לְ הָ נֵ ץ	le haˈ ne ts
א ב ו ד	aˈ v u d
אַ שָּׁ ף	aˈ ʃa f
בְּ גִ י ן	be ˈg i n
לְ הִ יגַ ב וֹת	le hi gaˈ v ot
לְ הִ ת ְקַ לֵ ס	le hi t kaˈ le s
פִּי ס וּ ל	piˈ s u l
י ו ם	ˈj o m
לְ אַ שְׁ פֵּ ז	le ʔa ʃˈ pe z
שִׁ י בָ ה	ʃi ˈ v a
חַ יּ ֶב ֶ ת	xaˈ j ev e t
ל ה ינ צ ל	le hi na tˈse l
ל הת ב ו נ ן	le hit b o ˈne n
לְ הִ תְ כּ וֹ פֵ ף	le h it k oˈ fe f
הת מו ט ט ות	hit mo te ˈt ut
מְ נ וּ וַּ ל	me n uˈ va l
חַ לָּ ה	xaˈ l a
ל ל ק ו ט	l ilˈ k o t
נ וו ה	na ˈv e
בַּ קַ ר	baˈ ka r
א ב ח נה	a v xa ˈna
הִ תְ נַ חַ ל וּת	h it na xaˈ l ut
ל הת מי ד	le hatˈ mi d
ת מי די	t miˈ di
ק וֹ מ וּ נִי סְ ט	k o m uˈ ni s t
ג א וו ה	g a ʔ aˈva
ל ה פר י ך	le h afˈr i x
ל הת פ ט ר	le hit pa ˈte r
לְ פַ רֵ שׁ	le faˈ re ʃ
לִ שְׁ ס וֹעַ	li ʃˈ s oa
ל מח ז ר	le maxˈ ze r
צִ ינְצ ֶ נֶ ת	tsi ntˈs e ne t
ל ג ל ו ל	l igˈ l o l
חָ נִי ךְ	xaˈ ni x
יָ ת וֹ ם	jaˈ t o m
ל ה יג ו ז	le hi ˈg o z
מִ מּ ֶ נּ וּ	miˈ m e n u
נְ הִ י מָ ה	ne hi ˈ m a
נָ צִי ג	na tˈsi g
מָ עַ ט	maˈ ʔa t
סי כ ס ו ך	si xˈ s u x
כּ ֹ הֵ ן	k o ˈhe n
ק י ר ח	k eˈ re ax
א ח ר ית	a xa ˈr it
דִי קְ ד וּ ק	di kˈ d u k
לָ סֶ ג ֶ ת	laˈ se g e t
הִ תְ עַ מְ ל וּת	hi tʔ a mˈ l ut
ל ה יח ש ף	le h exa ˈse f
לְ הַ שְׁ חִ י ם	le ha ʃˈ x i m
חֵ מְ לַה	xe mˈ la
אִי שָּׁ ה	iˈ ʃ a
ק וֹר וֹת	k oˈr ot
מצ ו י ן	mets uˈ j an
בְּ חִ י נַה	b xi ˈ na
ס ו ח ר	s o ˈxe r
הַ עִ נְ יַ ן	ha ʔi nˈ ja n
לְ מַ מֵּ שׁ	le maˈ me ʃ
ל ל י ץ	la ˈl i ts
לְ שַׁ תֵ ק	le ʃaˈ te k
לְ הַ גִ י שׁ	le ha ˈg i ʃ
לְ חַ דֵּ שׁ	le xaˈ de ʃ
חִ יּ וּ נִי	xi j uˈ ni
לַ חַ ר וֹ ג	la xaˈ r o g
תַּ קָּ נָ ה	ta kaˈ n a
שי ור	ʃiˈj ur
תַ חְ בּ וּ רַה	ta x b uˈ ra
לְ נָ אֵ ץ	le naˈ ʔe ts
חַ שַׁ ב	xaˈ ʃa v
לִ רְ צוֹ ת	li r tˈso t
הֵ מְ שֵׁ ךְ	he mˈ ʃe x
סָ ת וּ ם	saˈ t u m
תַּ שְׁ נִי ת	ta ʃˈ ni t
לע מ ם	le ʔaˈme m
סִי רַה	siˈ ra
לַע ֲ ר וֹ ךְ	laʔ aˈ r o x
ה וד ע ה	h odaˈ ʔ a
תַּ קְ רִי ת	ta kˈ ri t
פּ ְרִי ט	p ˈri t
ל ק וו ת	le kaˈ vo t
לְ הָ לִי ט	le haˈ li t
